text,label
Scientists publish research in peer-reviewed journal about climate change effects,real
Government announces new infrastructure spending plan after congressional approval,real
Local hospital reports successful implementation of new patient safety protocols,real
University researchers develop new water purification technology with NSF funding,real
Federal Reserve adjusts interest rates following economic indicators analysis,real
BREAKING: This one weird trick doctors hate will cure everything instantly!,fake
SHOCKING secret that government doesn't want you to know about aliens!,fake
Miracle cure discovered but big pharma is hiding it from the public!,fake
Local mom makes $5000 per day with this simple trick banks hate!,fake
URGENT: Share this before it gets banned by the mainstream media!,fake
